iter	Passed	Remaining
0	10	9994
1	19	9660
2	28	9476
3	37	9451
4	47	9371
5	56	9314
6	65	9243
7	74	9254
8	84	9260
9	93	9280
10	103	9269
11	112	9259
12	122	9288
13	131	9295
14	141	9259
15	150	9238
16	159	9245
17	169	9230
18	178	9214
19	188	9216
20	197	9207
21	207	9209
22	218	9261
23	227	9260
24	237	9246
25	246	9234
26	255	9222
27	264	9196
28	274	9181
29	283	9158
30	292	9141
31	302	9147
32	311	9136
33	321	9127
34	330	9118
35	339	9097
36	349	9085
37	358	9073
38	367	9057
39	376	9034
40	385	9027
41	395	9015
42	405	9024
43	415	9026
44	424	9017
45	434	9004
46	443	8994
47	453	8989
48	462	8985
49	472	8971
50	481	8959
51	490	8944
52	499	8932
53	509	8926
54	518	8915
55	527	8896
56	536	8880
57	546	8870
58	555	8862
59	564	8850
60	574	8847
61	584	8837
62	593	8828
63	603	8832
64	613	8830
65	623	8822
66	633	8815
67	642	8805
68	652	8798
69	661	8786
70	670	8775
71	680	8769
72	689	8760
73	699	8750
74	708	8736
75	717	8723
76	726	8713
77	736	8704
78	746	8700
79	755	8693
80	765	8685
81	774	8675
82	783	8660
83	793	8647
84	802	8640
85	813	8648
86	823	8645
87	833	8636
88	843	8630
89	852	8624
90	862	8616
91	872	8607
92	881	8592
93	890	8583
94	900	8573
95	909	8561
96	919	8561
97	929	8554
98	938	8545
99	948	8540
100	957	8526
101	967	8516
102	976	8506
103	987	8507
104	996	8497
105	1005	8480
106	1014	8466
107	1023	8456
108	1033	8445
109	1042	8435
110	1051	8422
111	1060	8411
112	1070	8401
113	1079	8389
114	1088	8378
115	1097	8367
116	1107	8354
117	1116	8342
118	1125	8333
119	1134	8323
120	1144	8313
121	1153	8304
122	1163	8292
123	1173	8289
124	1184	8289
125	1193	8279
126	1202	8268
127	1212	8260
128	1222	8253
129	1231	8243
130	1240	8232
131	1249	8217
132	1258	8206
133	1267	8193
134	1276	8181
135	1285	8168
136	1295	8160
137	1305	8153
138	1314	8144
139	1324	8134
140	1333	8121
141	1342	8111
142	1351	8101
143	1361	8094
144	1370	8082
145	1379	8071
146	1389	8060
147	1398	8048
148	1407	8037
149	1416	8025
150	1425	8013
151	1434	8003
152	1444	7995
153	1453	7984
154	1462	7973
155	1471	7962
156	1481	7952
157	1490	7941
158	1498	7928
159	1508	7917
160	1517	7906
161	1526	7896
162	1535	7886
163	1544	7874
164	1554	7864
165	1563	7856
166	1572	7845
167	1582	7834
168	1591	7823
169	1600	7814
170	1609	7802
171	1618	7793
172	1628	7782
173	1637	7773
174	1646	7763
175	1655	7752
176	1664	7741
177	1673	7729
178	1683	7720
179	1692	7710
180	1701	7699
181	1710	7688
182	1719	7678
183	1729	7669
184	1738	7658
185	1747	7649
186	1757	7639
187	1766	7630
188	1775	7620
189	1784	7608
190	1793	7598
191	1803	7588
192	1812	7577
193	1821	7569
194	1830	7558
195	1840	7547
196	1849	7538
197	1858	7527
198	1867	7516
